setting,scenario,method,pass_rate,mean_energy,mean_path_length
offline_full_map,shadow_comm,BFS,0.6666666666666666,108.95316240307844,50.76390326056044
offline_full_map,shadow_comm,DFS,0.6666666666666666,109.55451554547571,51.15622168128379
offline_full_map,shadow_comm,DQN,0.6666666666666666,103.10910644828078,56.34961996348558
offline_full_map,shadow_comm,Greedy,0.7666666666666667,104.36016925362654,54.26031500261628
offline_full_map,shadow_comm,PPO,0.43333333333333335,108.61721359972108,58.73313609381132
offline_full_map,shadow_comm,Random,0.0,119.60236947681888,67.60745545469538
offline_full_map,slope_ridges,A* risk-aware,0.8666666666666667,83.54785076777408,56.21722994119236
offline_full_map,slope_ridges,A* shortest,0.3,91.00819123017612,46.06880946914759
offline_full_map,slope_ridges,BFS,0.23333333333333334,90.89688072715164,46.35026449627745
offline_full_map,slope_ridges,DFS,0.26666666666666666,90.63571777766887,45.94495184406298
offline_full_map,slope_ridges,DQN,0.26666666666666666,89.07057861705836,50.755913857417475
offline_full_map,slope_ridges,Greedy,0.4,89.9205390874931,49.75615194658202
offline_full_map,slope_ridges,PPO,0.16666666666666666,89.473343446023,50.527823441596844
offline_full_map,slope_ridges,Random,0.0,93.42335547325486,55.30403555121401
online_local_view,baseline,A* risk-aware-online,0.4,43.82994203563594,27.74261180206004
online_local_view,baseline,A* shortest-online,0.36666666666666664,87.82611943638781,46.177303935678886
online_local_view,baseline,BFS-online,0.26666666666666666,88.84403959988107,45.99838619007399
online_local_view,baseline,DFS-online,0.36666666666666664,87.90613430382066,46.31537512313658
online_local_view,baseline,DQN-online,0.4,85.70421902959991,50.22379985496612
online_local_view,baseline,Greedy-online,0.36666666666666664,87.12104846677654,50.24691432749784
online_local_view,baseline,PPO-online,0.4,86.98448431653166,52.8524939539361
online_local_view,baseline,Random-online,0.0,91.15368610629523,48.21892253143822
online_local_view,complex_moon,A* risk-aware-online,0.4666666666666667,103.81579203513026,50.450839294367555
online_local_view,complex_moon,A* shortest-online,0.3,106.21452069224841,45.66938426723768
online_local_view,complex_moon,BFS-online,0.16666666666666666,107.3325862815453,46.03286911958752
online_local_view,complex_moon,DFS-online,0.23333333333333334,106.82647432044851,44.551245737994876
online_local_view,complex_moon,DQN-online,0.2,104.52300046137971,51.42251078938237
online_local_view,complex_moon,Greedy-online,0.26666666666666666,106.6695901792453,48.99259735953042
online_local_view,complex_moon,PPO-online,0.3333333333333333,103.8082793136887,52.29898987322333
online_local_view,complex_moon,Random-online,0.0,110.05608676875009,46.05462479183373
online_local_view,crater_field,A* risk-aware-online,0.23333333333333334,52.83323013631851,31.200209204105303
online_local_view,crater_field,A* shortest-online,0.13333333333333333,90.2165793687202,44.19422313403972
online_local_view,crater_field,BFS-online,0.1,90.8038672907972,44.19912934262686
online_local_view,crater_field,DFS-online,0.13333333333333333,90.63056504307112,43.63033183806256
online_local_view,crater_field,DQN-online,0.13333333333333333,88.60437683635931,50.31997350785741
online_local_view,crater_field,Greedy-online,0.16666666666666666,90.39646832623488,47.55019476157568
online_local_view,crater_field,PPO-online,0.16666666666666666,89.26650451223367,51.19824672067045
online_local_view,crater_field,Random-online,0.0,91.53173235968775,45.429954279494474
online_local_view,low_battery_bad_case,A* risk-aware-online,0.6666666666666666,105.06506251109373,52.13784506287643
online_local_view,low_battery_bad_case,A* shortest-online,0.36666666666666664,110.19306394448193,47.62877579825503
online_local_view,low_battery_bad_case,BFS-online,0.3333333333333333,109.77295820801156,48.2431577150909
online_local_view,low_battery_bad_case,DFS-online,0.36666666666666664,109.71768823501529,47.55540879402914
online_local_view,low_battery_bad_case,DQN-online,0.36666666666666664,107.09619600753118,54.6393313679822
online_local_view,low_battery_bad_case,Greedy-online,0.5,106.79520442550232,51.66914617807314
online_local_view,low_battery_bad_case,PPO-online,0.2,107.8745755610735,54.563694056455134
online_local_view,low_battery_bad_case,Random-online,0.0,113.27715554913343,51.524066829189906
online_local_view,shadow_comm,A* risk-aware-online,0.8666666666666667,100.80712282910788,54.41635636485401
online_local_view,shadow_comm,A* shortest-online,0.6666666666666666,109.76022341438446,50.93865795013108
online_local_view,shadow_comm,BFS-online,0.6,109.8381640498723,51.44258291700079
online_local_view,shadow_comm,DFS-online,0.6,110.38359791685386,50.88857377289969
online_local_view,shadow_comm,DQN-online,0.6666666666666666,103.10910644828078,56.34961996348558
online_local_view,shadow_comm,Greedy-online,0.7333333333333333,104.78362063239022,54.127556467373054
online_local_view,shadow_comm,PPO-online,0.43333333333333335,108.61721359972108,58.73313609381132
online_local_view,shadow_comm,Random-online,0.06666666666666667,119.22105473220601,55.0763515790207
online_local_view,slope_ridges,A* risk-aware-online,0.4666666666666667,70.22223752602886,40.503054309496584
online_local_view,slope_ridges,A* shortest-online,0.26666666666666666,90.81150148368629,46.09879263370131
online_local_view,slope_ridges,BFS-online,0.26666666666666666,91.26807590041759,46.00843669641281
online_local_view,slope_ridges,DFS-online,0.26666666666666666,90.70520455469217,45.83114472531721
online_local_view,slope_ridges,DQN-online,0.26666666666666666,89.07057861705836,50.755913857417475
online_local_view,slope_ridges,Greedy-online,0.4,89.95777069144853,49.66285228414124
online_local_view,slope_ridges,PPO-online,0.16666666666666666,89.473343446023,50.527823441596844
online_local_view,slope_ridges,Random-online,0.03333333333333333,93.22427856190004,47.12602931262476
