scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope,replan_count,collision_fail,online_runtime_sec,known_cell_ratio,sensing_radius
complex_moon,Integrated Lunar Industrial Terrain,BFS-online,1,1,1,108.0,0.9459900823122638,54.597979746446654,206.3440408545276,107.05400991768774,26.248236607789693,0.045454545454545456,1.0,0.26814174108612926,43,0,0.2799635259434581,0.31407407407407406,5
complex_moon,Integrated Lunar Industrial Terrain,Greedy-online,0,0,0,108.0,-0.8561271646789095,45.698484809834994,203.49416984645632,108.85612716467891,27.35624835272725,0.0,1.0,0.2949012724401909,37,0,0.03647756716236472,0.2276543209876543,5
complex_moon,Integrated Lunar Industrial Terrain,A* shortest-online,0,0,0,108.0,-2.338269869518456,53.183766184073576,206.61228783025814,110.33826986951846,25.55222363168954,0.046511627906976744,1.0,0.2779586891090591,42,0,0.05346284760162234,0.30419753086419754,5
complex_moon,Integrated Lunar Industrial Terrain,A* risk-aware-online,1,1,1,108.0,6.159622185755822,56.01219330881976,195.7328686170483,101.84037781424418,22.610696473754007,0.0,1.0,0.2380154771945335,44,0,1.4497072491794825,0.3180246913580247,5
complex_moon,Integrated Lunar Industrial Terrain,DQN-online,0,1,0,108.0,0.9293987078696802,49.04163056034261,209.14981550728888,107.07060129213032,29.784608813317906,0.0,1.0,0.2973164840306491,43,0,0.046956168953329325,0.2074074074074074,5
complex_moon,Integrated Lunar Industrial Terrain,PPO-online,0,1,0,108.0,1.5531286077252702,50.384776310850235,213.59362263901173,106.44687139227473,30.443348838183912,0.0,1.0,0.273768453003998,46,0,0.0615232172422111,0.20987654320987653,5
low_battery_bad_case,Battery Stress Case,Random-online,0,0,0,112.0,-1.272519044174686,54.4558441227157,212.3166344415749,113.27251904417469,25.298232526512564,0.0,1.0,0.2968381776356784,47,0,0.0072120800614356995,0.2869135802469136,5
low_battery_bad_case,Battery Stress Case,DFS-online,0,0,0,112.0,-1.7843556470322568,48.08326112068523,198.78674448113887,113.78435564703226,25.807875604951015,0.0,1.0,0.37308216014145773,34,0,0.014350221958011389,0.2834567901234568,5
low_battery_bad_case,Battery Stress Case,BFS-online,0,0,0,112.0,-3.1867057760932624,47.426406871192846,207.61995417544145,115.18670577609326,28.878735170192616,0.0,1.0,0.3771870880609059,35,0,0.24156982777640224,0.277037037037037,5
low_battery_bad_case,Battery Stress Case,Greedy-online,1,1,1,112.0,1.2049838868800151,55.426406871192846,175.59194233933977,110.79501611311998,11.857936167081235,0.0,1.0,0.26949854925184624,43,0,0.03951115207746625,0.31703703703703706,5
low_battery_bad_case,Battery Stress Case,A* shortest-online,0,0,0,112.0,-1.7843556470322568,48.08326112068523,198.78674448113887,113.78435564703226,25.807875604951015,0.0,1.0,0.37308216014145773,34,0,0.03535099979490042,0.2834567901234568,5
low_battery_bad_case,Battery Stress Case,A* risk-aware-online,1,1,1,112.0,5.709861620071891,53.669047558312144,181.33293132657377,106.29013837992811,16.352653374270904,0.0,1.0,0.2537232530309976,40,0,1.3708342690952122,0.30814814814814817,5
low_battery_bad_case,Battery Stress Case,DQN-online,1,1,1,112.0,6.906514629657181,57.769552621700456,175.8923221474378,105.09348537034282,12.47142191308939,0.0,1.0,0.259821289856029,47,0,0.04973597265779972,0.32098765432098764,5
low_battery_bad_case,Battery Stress Case,PPO-online,1,1,1,112.0,5.804372425325525,61.28427124746189,183.32171671103703,106.19562757467448,11.220015396509947,0.0,1.0,0.20777806289833234,53,0,0.0747438296675682,0.3298765432098765,5
