scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope
crater_field,Dense Crater Field,BFS,1,1,1,90.0,1.8448027916552547,51.669047558312116,172.77197649245895,88.15519720834475,21.08556444851773,0.1282051282051282,1.0,0.2355272935517364
crater_field,Dense Crater Field,Greedy,1,1,1,90.0,0.19164579579026508,54.01219330881975,174.77105420526587,89.80835420420973,19.291485165459623,0.06976744186046512,1.0,0.2311973294292937
crater_field,Dense Crater Field,A* shortest,1,0,0,90.0,-1.5696069045090582,51.66904755831213,173.10268199525905,91.56960690450906,20.041860255153495,0.10256410256410256,1.0,0.2523553911577819
crater_field,Dense Crater Field,A* risk-aware,1,1,1,90.0,7.754919976132555,52.25483399593902,162.27584140342887,82.24508002386744,17.23954654396495,0.075,1.0,0.17598866359912368
crater_field,Dense Crater Field,DQN,1,1,1,90.0,1.0061840953262333,54.01219330881975,175.5804542241378,88.99381590467377,19.89542348386755,0.06976744186046512,1.0,0.22547496474110582
crater_field,Dense Crater Field,PPO,1,1,1,90.0,1.0061840953262333,54.01219330881975,175.5804542241378,88.99381590467377,19.89542348386755,0.06976744186046512,1.0,0.22547496474110582
slope_ridges,Highland Ridges And Slopes,Random,0,0,0,92.0,-0.07740850280043787,61.698484809834994,171.0318600616217,92.07740850280044,10.37916329075303,0.0,1.0,0.1922067276065376
slope_ridges,Highland Ridges And Slopes,DFS,0,0,0,92.0,-2.369716368625845,52.08326112068522,166.88791114496675,94.36971636862584,23.107173891498192,0.0,0.5641025641025641,0.2873634331153384
slope_ridges,Highland Ridges And Slopes,BFS,1,1,1,92.0,4.197170947754344,51.66904755831213,146.87712504605773,87.80282905224566,16.448906028473605,0.05128205128205128,0.6153846153846154,0.24740784688393852
slope_ridges,Highland Ridges And Slopes,Greedy,1,1,1,92.0,3.978623092281836,51.66904755831213,146.44936698188312,88.02137690771816,16.318879077874556,0.02564102564102564,0.5641025641025641,0.24407382250960394
slope_ridges,Highland Ridges And Slopes,A* shortest,1,1,1,92.0,1.1529446445018294,51.66904755831213,152.24134074871034,90.84705535549817,18.342138734954297,0.0,0.5641025641025641,0.27415740346036654
slope_ridges,Highland Ridges And Slopes,A* risk-aware,1,1,1,92.0,6.094310191495978,56.840620433565945,132.13779841738386,85.90568980850402,6.20540157629484,0.0,0.5333333333333333,0.137897812806552
slope_ridges,Highland Ridges And Slopes,DQN,1,1,1,92.0,3.6951120990174218,52.25483399593904,149.21790615082634,88.30488790098258,17.40394006494524,0.0,0.55,0.243848501623631
slope_ridges,Highland Ridges And Slopes,PPO,1,1,1,92.0,3.6951120990174218,52.25483399593904,149.21790615082634,88.30488790098258,17.40394006494524,0.0,0.55,0.243848501623631
shadow_comm,Polar Shadow And Communication Gaps,Random,0,0,0,118.0,-0.9916301999796104,61.52691193458118,196.52241953690128,118.99163019997961,12.425692858355257,0.0,0.9811320754716981,0.23444703506330672
shadow_comm,Polar Shadow And Communication Gaps,DFS,0,0,0,118.0,-2.7583024484228105,46.42640687119285,198.54940092859212,120.75830244842281,21.666617714133466,0.11428571428571428,1.0,0.32761764897524187
shadow_comm,Polar Shadow And Communication Gaps,BFS,1,1,1,118.0,2.54160384654503,53.426406871192846,202.43232677096515,115.45839615345497,22.76944985147437,0.0,1.0,0.31951071074938975
