scenario,scenario_title,method,path_found,energy_feasible,task_success,battery_capacity,energy_margin,path_length,total_cost,energy,terrain_risk,shadow_ratio,comm_blackout_ratio,avg_slope,setting,sample_seed,replan_count,collision_fail,online_runtime_sec,known_cell_ratio
shadow_comm,Polar Shadow And Communication Gaps,BFS,0,0,0,118.0,-1.63607573609994,46.597979746446654,211.17623107105695,119.63607573609994,27.81577844994795,0.08333333333333333,1.0,0.34766051249855423,offline_full_map,10441,,,,
shadow_comm,Polar Shadow And Communication Gaps,Greedy,1,1,1,118.0,0.3985841155599985,55.426406871192846,204.35324702787145,117.60141588444,19.711376404829487,0.0,1.0,0.19684946374612464,offline_full_map,10441,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* shortest,0,0,0,118.0,-1.799417604257897,49.84062043356594,215.684479819911,119.7994176042579,27.520685330643982,0.05263157894736842,1.0,0.2768601402801047,offline_full_map,10441,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware,1,1,1,118.0,15.828372295769086,62.49747468305833,164.28142178711855,102.17162770423091,6.908073483938274,0.061224489795918366,0.7346938775510204,0.14098109150894436,offline_full_map,10441,,,,
shadow_comm,Polar Shadow And Communication Gaps,DQN,1,1,1,118.0,0.509400242082549,55.42640687119285,204.23606831011696,117.49059975791745,19.705013813597517,0.0,1.0,0.19670485939994362,offline_full_map,10441,,,,
shadow_comm,Polar Shadow And Communication Gaps,PPO,1,1,1,118.0,0.509400242082549,55.42640687119285,204.23606831011696,117.49059975791745,19.705013813597517,0.0,1.0,0.19670485939994362,offline_full_map,10441,,,,
shadow_comm,Polar Shadow And Communication Gaps,BFS-online,0,0,0,118.0,-1.5857406146293584,47.18376618407356,214.40746158015673,119.58574061462936,28.777344080518322,0.08108108108108109,1.0,0.34127956974373835,online_local_view,10441,36.0,0.0,0.21951418882235885,0.2740740740740741
shadow_comm,Polar Shadow And Communication Gaps,Greedy-online,1,1,1,118.0,0.3985841155599985,55.426406871192846,204.35324702787145,117.60141588444,19.711376404829487,0.0,1.0,0.19684946374612464,online_local_view,10441,43.0,0.0,0.029959462583065033,0.31506172839506175
shadow_comm,Polar Shadow And Communication Gaps,A* shortest-online,0,0,0,118.0,-1.799417604257897,49.84062043356594,215.684479819911,119.7994176042579,27.520685330643982,0.05263157894736842,1.0,0.2768601402801047,online_local_view,10441,37.0,0.0,0.05411585886031389,0.2928395061728395
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware-online,1,1,1,118.0,4.165436063484947,54.012193308819754,198.58457697767193,113.83456393651505,19.044801213070233,0.0,1.0,0.18592560960628457,online_local_view,10441,42.0,0.0,1.1890542330220342,0.31209876543209875
shadow_comm,Polar Shadow And Communication Gaps,D* Lite-style,1,1,1,118.0,4.165436063484947,54.012193308819754,198.58457697767193,113.83456393651505,19.044801213070233,0.0,1.0,0.18592560960628457,online_local_view,10441,42.0,0.0,1.1831762329675257,0.31209876543209875
shadow_comm,Polar Shadow And Communication Gaps,DQN-online,1,1,1,118.0,0.509400242082549,55.42640687119285,204.23606831011696,117.49059975791745,19.705013813597517,0.0,1.0,0.19670485939994362,online_local_view,10441,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,PPO-online,1,1,1,118.0,0.509400242082549,55.42640687119285,204.23606831011696,117.49059975791745,19.705013813597517,0.0,1.0,0.19670485939994362,online_local_view,10441,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,BFS,1,1,1,118.0,2.7579254619802356,51.08326112068522,206.17212072254705,115.24207453801976,25.680475045374386,0.0,1.0,0.29553881698353646,offline_full_map,10478,,,,
shadow_comm,Polar Shadow And Communication Gaps,Greedy,1,1,1,118.0,9.680454598193734,53.42640687119285,197.69592574417229,108.31954540180627,21.11118285999399,0.0,1.0,0.1990757823808092,offline_full_map,10478,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* shortest,1,1,1,118.0,3.702483816321106,51.08326112068522,202.86754659808412,114.2975161836789,24.34045927525234,0.0,1.0,0.2826436651382194,offline_full_map,10478,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware,1,1,1,118.0,30.159035772648693,58.84062043356594,149.20853920705727,87.84096422735131,7.086796918388249,0.0425531914893617,0.8085106382978723,0.15078291315719677,offline_full_map,10478,,,,
shadow_comm,Polar Shadow And Communication Gaps,DQN,1,1,1,118.0,9.680454598193734,53.42640687119285,197.69592574417229,108.31954540180627,21.11118285999399,0.0,1.0,0.1990757823808092,offline_full_map,10478,,,,
shadow_comm,Polar Shadow And Communication Gaps,PPO,1,1,1,118.0,9.680454598193734,53.42640687119285,197.69592574417229,108.31954540180627,21.11118285999399,0.0,1.0,0.1990757823808092,offline_full_map,10478,,,,
shadow_comm,Polar Shadow And Communication Gaps,BFS-online,1,0,0,118.0,-1.4578433823725874,52.25483399593902,213.26995666569604,119.45784338237259,25.962542144170573,0.0,1.0,0.28781355360426436,online_local_view,10478,39.0,0.0,0.20979436486959457,0.29975308641975307
shadow_comm,Polar Shadow And Communication Gaps,Greedy-online,1,1,1,118.0,9.680454598193734,53.42640687119285,197.69592574417229,108.31954540180627,21.11118285999399,0.0,1.0,0.1990757823808092,online_local_view,10478,41.0,0.0,0.026515986770391464,0.305679012345679
shadow_comm,Polar Shadow And Communication Gaps,A* shortest-online,1,1,1,118.0,3.0416680031505763,51.08326112068522,203.5625893843286,114.95833199684942,24.374686248326277,0.0,1.0,0.28354437495595464,online_local_view,10478,37.0,0.0,0.026541288010776043,0.29728395061728397
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware-online,1,1,1,118.0,11.632841275382987,55.42640687119285,191.59290225512817,106.36715872461701,17.36607855297343,0.0,1.0,0.1628654216584871,online_local_view,10478,43.0,0.0,1.0922094979323447,0.31555555555555553
shadow_comm,Polar Shadow And Communication Gaps,D* Lite-style,1,1,1,118.0,11.632841275382987,55.42640687119285,191.59290225512817,106.36715872461701,17.36607855297343,0.0,1.0,0.1628654216584871,online_local_view,10478,43.0,0.0,1.068569772876799,0.31555555555555553
shadow_comm,Polar Shadow And Communication Gaps,DQN-online,1,1,1,118.0,9.680454598193734,53.42640687119285,197.69592574417229,108.31954540180627,21.11118285999399,0.0,1.0,0.1990757823808092,online_local_view,10478,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,PPO-online,1,1,1,118.0,9.680454598193734,53.42640687119285,197.69592574417229,108.31954540180627,21.11118285999399,0.0,1.0,0.1990757823808092,online_local_view,10478,0.0,0.0,,
shadow_comm,Polar Shadow And Communication Gaps,BFS,1,1,1,118.0,15.404511774526327,50.497474683058314,185.42208703140622,102.59548822547367,22.018726124131454,0.10810810810810811,1.0,0.2734790844359852,offline_full_map,10515,,,,
shadow_comm,Polar Shadow And Communication Gaps,Greedy,1,1,1,118.0,13.83324413252366,52.25483399593904,176.50804117413054,104.16675586747634,14.773412624853158,0.1,1.0,0.22058531562132894,offline_full_map,10515,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* shortest,1,1,1,118.0,11.109163080229422,50.497474683058314,192.82299295552033,106.89083691977058,24.104283353948663,0.13513513513513514,1.0,0.30687252307969365,offline_full_map,10515,,,,
shadow_comm,Polar Shadow And Communication Gaps,A* risk-aware,1,1,1,118.0,20.020366812250657,55.183766184073555,161.8000450474727,97.97963318774934,6.892539177922342,0.0,1.0,0.15316753728716315,offline_full_map,10515,,,,
shadow_comm,Polar Shadow And Communication Gaps,DQN,1,1,1,118.0,13.971592106302325,52.84062043356595,176.94574527056994,104.02840789369768,14.04946469507125,0.0975609756097561,1.0,0.19754791939198174,offline_full_map,10515,,,,
shadow_comm,Polar Shadow And Communication Gaps,PPO,1,1,1,118.0,13.971592106302325,52.84062043356595,176.94574527056994,104.02840789369768,14.04946469507125,0.0975609756097561,1.0,0.19754791939198174,offline_full_map,10515,,,,
